Hook_ID,Hook_Text,Primary_Tone,Psychology_Triggers,Niche_Categories,Hook_Structure,Target_Audience,Content_Format,Hook_Length,Uses_Variables,Category
HOOK_144,"If you have a (insert person) at home, then (insert action) will dramatically change their (insert noun).",Direct/Informative,Education/Value,Home/DIY/Lifestyle,Conditional/If-Then,Broad/General,General,105,Yes,EDUCATIONAL
HOOK_145,I built this (insert noun) for (insert $).,Direct/Informative,Education/Value,Finance/Money,Direct Statement,Broad/General,General,42,Yes,EDUCATIONAL
HOOK_146,I bought this (insert noun) for (insert $) and let me show you what I did next.,Instructional,Education/Value,"Finance/Money, Product Reviews/Shopping",Direct Statement,Broad/General,General,79,Yes,EDUCATIONAL
HOOK_147,In (insert year) the (insert company/person) introduced the (insert noun).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,74,Yes,EDUCATIONAL
HOOK_148,Here's the only way I will ever (insert action).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,48,Yes,EDUCATIONAL
HOOK_149,So I spent (insert $) at (insert store) on my last trip.,Direct/Informative,Education/Value,"Finance/Money, Product Reviews/Shopping",Direct Statement,Broad/General,General,56,Yes,EDUCATIONAL
HOOK_150,I turned one (insert noun) into # different (insert noun).,Transformational,Education/Value,General/Universal,Direct Statement,Broad/General,General,58,Yes,EDUCATIONAL
HOOK_151,"(insert company) did not sponsor me this year, so here is how to make their (insert noun) at home.",Instructional,Clarity/Certainty,"Home/DIY/Lifestyle, Food/Cooking",Direct Statement,Broad/General,DIY/How-To,98,Yes,EDUCATIONAL
HOOK_152,"Want a (insert person) who (insert dream result) every time, even when you don't (insert noun/action).",Direct/Informative,"Fear of Loss/Avoidance, Transformation/Aspiration",General/Universal,Direct Statement,Broad/General,General,102,Yes,EDUCATIONAL
HOOK_153,"It's (insert noun) season, so let's make a (insert noun) for your (insert person).",Direct/Informative,Education/Value,Food/Cooking,Direct Statement,Broad/General,DIY/How-To,82,Yes,EDUCATIONAL
HOOK_154,Your favorite (insert noun) hacks from (insert year).,Revealing/Insider,Curiosity/Forbidden Knowledge,General/Universal,Direct Statement,Broad/General,Tips/Hacks,53,Yes,EDUCATIONAL
HOOK_155,# years as a (insert occupation) you guys still don't believe me when I say these things.,Direct/Informative,"Fear of Loss/Avoidance, Curiosity/Forbidden Knowledge, Authority/Credibility",General/Universal,Direct Statement,Broad/General,General,89,Yes,EDUCATIONAL
HOOK_156,It's wild to think (insert type of stores) still sell (insert noun) for (insert result). But not everyone knows they actually (insert result).,Shocking/Surprising,"Exclusivity/Insider Info, Social Proof/Virality",Product Reviews/Shopping,Direct Statement,Broad/General,General,142,Yes,EDUCATIONAL
HOOK_157,I am not a DIY guy/girl but I am going to show you how I spent (insert $) to transform my (insert noun).,Instructional,Authority/Credibility,"Finance/Money, Home/DIY/Lifestyle",Direct Statement,Broad/General,DIY/How-To,104,Yes,EDUCATIONAL
HOOK_158,Here are # (insert noun) that you should never (insert action).,Direct/Informative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Broad/General,General,63,Yes,EDUCATIONAL
HOOK_159,"If I can't do it in one step, I am not doing it. This is the #1 most efficient way to (insert verb) (insert noun).",Direct/Informative,"Quick Win/Instant Gratification, Authority/Credibility",General/Universal,Direct Statement,Broad/General,General,114,Yes,EDUCATIONAL
HOOK_160,When (insert occurrence) you will probably need a better (insert noun) than this.,Direct/Informative,Status/Achievement,General/Universal,Direct Statement,Broad/General,General,81,Yes,EDUCATIONAL
HOOK_161,I found out why (insert noun) wasn't (insert result). So I am going to tell you what you're doing wrong.,Direct/Informative,Authority/Credibility,General/Universal,Direct Statement,Broad/General,General,104,Yes,EDUCATIONAL
HOOK_162,This is the ultimate master trick to (insert result) in just # minutes.,Revealing/Insider,"Quick Win/Instant Gratification, Curiosity/Forbidden Knowledge",General/Universal,Direct Statement,Broad/General,Tips/Hacks,71,Yes,EDUCATIONAL
HOOK_163,Did you know you only need # of ingredients to make (insert noun).,Direct/Informative,Education/Value,Food/Cooking,Fact Reveal,Broad/General,DIY/How-To,66,Yes,EDUCATIONAL
HOOK_164,"I am willing to bet, this (insert noun) is older than you.",Direct/Informative,Authority/Credibility,General/Universal,Direct Statement,Broad/General,General,58,Yes,EDUCATIONAL
HOOK_165,Did you know our chicken is dunked in chlorine?,Curious/Question,Curiosity Gap,Food/Cooking,Question,Broad/General,General,47,No,EDUCATIONAL
HOOK_166,The viral (insert noun) hack that landed me in (insert news/magazine outlet).,Revealing/Insider,"Curiosity/Forbidden Knowledge, Social Proof/Virality",General/Universal,Direct Statement,Broad/General,Tips/Hacks,77,Yes,EDUCATIONAL
HOOK_167,I am a # generation (insert title) and I hope this shows you why you should (insert action) when (insert task).,Direct/Informative,Authority/Credibility,General/Universal,Direct Statement,Variable/Customizable,General,111,Yes,EDUCATIONAL
HOOK_168,Here are the # (insert noun) items you need to throw in the garbage right now.,Urgent,Identity/Belonging,"Life Advice/Personal Development, Product Reviews/Shopping",Direct Statement,Age-Specific,General,78,Yes,EDUCATIONAL
HOOK_169,"We're going to see if it's true, that (insert noun) are so filled with toxins that they don't burn when you hit them with a blow torch.",Direct/Informative,Fear of Loss/Avoidance,General/Universal,Conditional/If-Then,Broad/General,General,135,Yes,EDUCATIONAL
HOOK_170,"Believe it or not, this simple device can prevent (insert pain point), (insert pain point), and (insert pain point).",Shocking/Surprising,"Quick Win/Instant Gratification, Fear of Loss/Avoidance, Social Proof/Virality",General/Universal,Direct Statement,Broad/General,General,116,Yes,EDUCATIONAL
HOOK_171,Here's why I never use a (insert noun).,Direct/Informative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Broad/General,General,39,Yes,EDUCATIONAL
HOOK_172,"Did you know you could take a (insert noun) like this, and quick (insert action).",Direct/Informative,Education/Value,General/Universal,Fact Reveal,Broad/General,General,81,Yes,EDUCATIONAL
HOOK_173,Here are # (insert noun) as a (insert title) I would never own.,Direct/Informative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Variable/Customizable,General,63,Yes,EDUCATIONAL
HOOK_174,After over a decade of (insert action) here is what I wish someone would have told me from the start.,Transformational,"Transformation/Aspiration, Authority/Credibility, Regret Prevention",General/Universal,Direct Statement,Broad/General,General,101,Yes,EDUCATIONAL
HOOK_175,To everyone just doing (insert #) (insert action). Stop that.,Urgent,"Fear of Loss/Avoidance, Exclusivity/Insider Info",General/Universal,Direct Statement,Broad/General,General,61,Yes,EDUCATIONAL
HOOK_176,"If you want to (insert dream result), (insert action) is the worst thing you can do.",Urgent,"Fear of Loss/Avoidance, Transformation/Aspiration",General/Universal,Conditional/If-Then,Broad/General,General,84,Yes,EDUCATIONAL
HOOK_177,This is (insert metric) the exact same amount of (insert noun) you build everyday. If you (insert action) hard (insert #) times per week.,Direct/Informative,Education/Value,Health/Fitness,Direct Statement,Broad/General,DIY/How-To,137,Yes,EDUCATIONAL
HOOK_178,You want you (insert noun) to look like these? So did this guy.,Curious/Question,Curiosity Gap,General/Universal,Question,Broad/General,General,63,Yes,EDUCATIONAL
HOOK_179,If I had 90 days to go from being (insert current state) to (insert dream result) here's exactly how I would do it!,Direct/Informative,"Clarity/Certainty, Transformation/Aspiration",General/Universal,Direct Statement,Broad/General,General,115,Yes,EDUCATIONAL
HOOK_180,You are (insert adjective) than you think.,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,42,Yes,EDUCATIONAL
HOOK_181,You can put on/take off (insert metric) on your (insert mile/exercise/vertical/etc) in one workout with these simple tips.,Direct/Informative,Quick Win/Instant Gratification,Health/Fitness,Direct Statement,Broad/General,General,122,Yes,EDUCATIONAL
HOOK_182,If you have (insert symptom) you probably have (insert condition).,Direct/Informative,Education/Value,Health/Fitness,Conditional/If-Then,Broad/General,General,66,Yes,EDUCATIONAL
HOOK_183,If you (insert action) but don't when to (insert action).,Direct/Informative,Fear of Loss/Avoidance,General/Universal,Conditional/If-Then,Broad/General,General,57,Yes,EDUCATIONAL
HOOK_184,You could be losing up to (insert metric) of you (insert dream result) without even realizing it.,Direct/Informative,"Fear of Loss/Avoidance, Transformation/Aspiration",Health/Fitness,Direct Statement,Broad/General,General,97,Yes,EDUCATIONAL
HOOK_185,If your (insert verb) (insert noun) and then (insert noun) and then (insert noun) that is literally the worst thing you could be doing.,Urgent,Fear of Loss/Avoidance,General/Universal,Conditional/If-Then,Broad/General,General,135,Yes,EDUCATIONAL
HOOK_186,The worst possible thing that can happen to a man/woman is developing (insert result).,Direct/Informative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Broad/General,General,86,Yes,EDUCATIONAL
HOOK_187,I grew about # (insert metric) in the past year at (insert age) by fixing my (insert condition) and (insert condition).,Direct/Informative,Identity/Belonging,"Life Advice/Personal Development, Health/Fitness",Direct Statement,Age-Specific,General,119,Yes,EDUCATIONAL
HOOK_188,Person #1: (insert large number) Person #2: What are you doing? Person #1: (insert action) I want to get a (insert dream result) before (insert time).,Curious/Question,"Transformation/Aspiration, Curiosity Gap",General/Universal,Question,Broad/General,General,150,Yes,EDUCATIONAL
HOOK_189,Here are some space saving (insert noun) hacks that saved our small space.,Revealing/Insider,"Curiosity/Forbidden Knowledge, Regret Prevention",Home/DIY/Lifestyle,Direct Statement,Budget-Conscious,Tips/Hacks,74,Yes,EDUCATIONAL
HOOK_190,Do you feel (insert pain point) by your (insert noun) consistent (insert pain point).,Direct/Informative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Broad/General,General,85,Yes,EDUCATIONAL
HOOK_191,My friends and I turned this (insert adjective) (insert noun) into this (insert adjective) (insert noun) in just (insert time).,Transformational,Education/Value,General/Universal,Direct Statement,Broad/General,General,127,Yes,EDUCATIONAL
HOOK_192,What happened to (insert adjective) (insert noun).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,50,Yes,EDUCATIONAL
HOOK_193,"(insert noun) used to have (insert trait), now they don't.",Direct/Informative,Fear of Loss/Avoidance,General/Universal,Direct Statement,Variable/Customizable,General,58,Yes,EDUCATIONAL
HOOK_194,Here is a complete cost breakdown to build my (insert sqft) home.,Direct/Informative,"Clarity/Certainty, Value/Money Saving","Finance/Money, Home/DIY/Lifestyle",Direct Statement,Broad/General,Breakdown/Analysis,65,Yes,EDUCATIONAL
HOOK_195,"It cost (insert $) to build my own (insert noun), acting as my own general contractor. Here is the complete coast breakdown.",Direct/Informative,Clarity/Certainty,Finance/Money,Direct Statement,Broad/General,Breakdown/Analysis,124,Yes,EDUCATIONAL
HOOK_196,I paid (insert $) to build my own dream home and pool as an (insert title). Here is the complete cost breakdown.,Direct/Informative,"Clarity/Certainty, Value/Money Saving","Finance/Money, Home/DIY/Lifestyle",Direct Statement,Variable/Customizable,Breakdown/Analysis,112,Yes,EDUCATIONAL
HOOK_197,I've (insert verb) over (insert #) of (insert noun) here are # things I would never do.,Direct/Informative,"Fear of Loss/Avoidance, Authority/Credibility",General/Universal,Direct Statement,Broad/General,General,87,Yes,EDUCATIONAL
HOOK_198,If you want to (insert verb) in an exceptional (insert noun) you have got to stop half-assing things.,Edgy/Provocative,"Fear of Loss/Avoidance, Status/Achievement",General/Universal,Conditional/If-Then,Broad/General,General,101,Yes,EDUCATIONAL
HOOK_199,It's also super hard to get (insert result) especially with the (insert condition).,Direct/Informative,Education/Value,Health/Fitness,Direct Statement,Broad/General,General,83,Yes,EDUCATIONAL
HOOK_200,It has taken me # years if (insert occupation/skill/hobby) to realize I have been (insert action) wrong this entire time.,Confessional/Personal,Education/Value,Skills/Education,Direct Statement,Broad/General,General,121,Yes,EDUCATIONAL
HOOK_201,Remember (insert method/strategy name) for you next (insert noun).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,66,Yes,EDUCATIONAL
HOOK_202,Remember (insert #) (insert noun) combo for you next (insert noun).,Direct/Informative,Education/Value,General/Universal,Direct Statement,Broad/General,General,67,Yes,EDUCATIONAL
HOOK_203,(insert industry/niche) tips for if you're broke.,Direct/Informative,Education/Value,"Finance/Money, Business/Career",Conditional/If-Then,Budget-Conscious,General,49,Yes,EDUCATIONAL
HOOK_204,"This is an (insert noun), and this is an (insert noun).",Direct Comparison,Comparison/Choice,General/Universal,Side-by-Side Comparison,Broad/General,Comparison/Visual,55,Yes,COMPARISON
HOOK_205,This (insert noun) and this (insert noun) have the same amount of (insert noun).,Analytical/Comparison,"Comparison/Choice, Surprising Equality",General/Universal,Comparative Statement,Broad/General,Comparison/Visual,80,Yes,COMPARISON
HOOK_206,A lot of people ask me what's better (insert option #1) or (insert option #2) for (insert dream result) I achieved (insert dream result) doing one of these and it's not even close.,Direct Comparison,"Comparison/Choice, Definitive Answer, Authority/Credibility",General/Universal,Comparative Statement,Broad/General,Comparison/Visual,180,Yes,COMPARISON
HOOK_207,For this (insert item) you could have all of these (insert item).,Direct Comparison,Comparison/Choice,Product/Consumer,Comparative Statement,Broad/General,Comparison/Visual,65,Yes,COMPARISON
HOOK_208,"He/she always (insert action), and he/she does (insert action).",Direct Comparison,Comparison/Choice,General/Universal,Comparative Statement,Broad/General,Comparison/Visual,63,Yes,COMPARISON
HOOK_209,"For this (insert noun), you could have all of (insert noun).",Direct Comparison,Comparison/Choice,General/Universal,Comparative Statement,Broad/General,Comparison/Visual,60,Yes,COMPARISON
HOOK_210,"This (option #1) has (insert noun) in it, and (option #2) has (insert noun) in it.",Direct Comparison,Comparison/Choice,General/Universal,Comparative Statement,Broad/General,Comparison/Visual,82,Yes,COMPARISON
HOOK_211,This group didn't (insert action) and this group did.,Direct Comparison,"Comparison/Choice, Social Proof/Data",General/Universal,Comparative Statement,Broad/General,Comparison/Visual,53,Yes,COMPARISON
HOOK_212,The (insert noun) offers you a (option #1) and a (option #2) what do you choose?,Curious/Question,"Comparison/Choice, Curiosity Gap",General/Universal,Question/Choice,Broad/General,Comparison/Visual,80,Yes,COMPARISON
HOOK_213,"(insert #) (insert noun) I would have this one if I was (insert verb), and I would have this one if I was (insert verb).",Direct Comparison,Comparison/Choice,General/Universal,Comparative Statement,Broad/General,Comparison/Visual,120,Yes,COMPARISON
HOOK_214,"This is (insert noun) at (insert metric), and it's perfect for (insert verb). This is (insert noun) at (insert metric).",Direct Comparison,Comparison/Choice,General/Universal,Comparative Statement,Broad/General,Comparison/Visual,119,Yes,COMPARISON
HOOK_215,"This is (insert metric) of (insert noun), this is also (insert metric).",Direct Comparison,Comparison/Choice,General/Universal,Comparative Statement,Broad/General,Comparison/Visual,71,Yes,COMPARISON
HOOK_216,(insert metric) and (insert metric) both sides are (insert adjective) and look the same. Let's see why.,Analytical/Comparison,"Comparison/Choice, Surprising Equality",General/Universal,Comparative Statement,Broad/General,Comparison/Visual,103,Yes,COMPARISON
HOOK_217,(insert result) (insert noun) vs. (insert result) (insert noun).,Comparative,Comparison/Choice,General/Universal,A vs B Comparison,Broad/General,Comparison/Visual,64,Yes,COMPARISON
HOOK_218,Both these (insert noun) are exactly the same. I have not changed a single (insert noun). But this one is (insert metric) and this one is (insert metric).,Analytical/Comparison,"Comparison/Choice, Surprising Equality, Clarity/Certainty",General/Universal,Comparative Statement,Broad/General,Comparison/Visual,154,Yes,COMPARISON
HOOK_219,Would you feel more (insert trait) in this (insert noun) or this one?,Curious/Question,"Comparison/Choice, Curiosity Gap",General/Universal,Question/Choice,Broad/General,Comparison/Visual,69,Yes,COMPARISON
HOOK_220,"Both groups gained the same amount of (insert noun). Expect this grouped (insert action) # days a week, and this group (insert action) #.",Analytical/Comparison,"Comparison/Choice, Surprising Equality, Social Proof/Data",General/Universal,Comparative Statement,Broad/General,Comparison/Visual,137,Yes,COMPARISON
HOOK_221,Cheap vs. Expensive (insert noun).,Comparative,Comparison/Choice,Finance/Budget,A vs B Comparison,Broad/General,Comparison/Visual,34,Yes,COMPARISON
HOOK_222,You will (insert result) a week if you (insert action) on a (insert journey). But you will only (insert result) this much a week if you (insert action) on a (insert journey).,Direct Comparison,Comparison/Choice,General/Universal,Comparative Statement,Broad/General,Comparison/Visual,174,Yes,COMPARISON
HOOK_223,This is what your (insert noun) looks like when you don't take (insert noun). And this is what your (insert noun) looks like when you take (insert noun).,Direct Comparison,Comparison/Choice,General/Universal,Side-by-Side Comparison,Broad/General,Comparison/Visual,153,Yes,COMPARISON
HOOK_224,This is me after (insert action) in the (insert location) with (insert condition). And this is me just (insert action) in the middle of (insert location).,Direct Comparison,Comparison/Choice,General/Universal,Side-by-Side Comparison,Broad/General,Comparison/Visual,154,Yes,COMPARISON
HOOK_225,"(insert item) (insert fact), (insert complete opposite item) (insert similar fact).",Myth-Busting/Educational,Belief Challenge,Product/Consumer,Direct Statement,Broad/General,General,83,Yes,MYTH BUSTING
HOOK_226,This is why doing (insert action) makes you (insert pain point).,Myth-Busting/Educational,Belief Challenge,General/Universal,Explanation,Broad/General,General,64,Yes,MYTH BUSTING
HOOK_227,This is how you (insert dream result) while (insert guilty pleasure).,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,69,Yes,MYTH BUSTING
HOOK_228,"(insert item) (insert fact), (insert item) (insert similar fact), (insert complete opposite item) (insert similar fact).",Myth-Busting/Educational,Belief Challenge,Product/Consumer,Direct Statement,Broad/General,General,120,Yes,MYTH BUSTING
HOOK_229,"If you're really a (insert dream result), why aren't you doing (insert common belief)?",Corrective/Urgent,"Belief Challenge, Conspiracy/Revelation, Curiosity Gap",General/Universal,Conditional/If-Then,Broad/General,General,86,Yes,MYTH BUSTING
HOOK_230,Just because you do (insert action) doesn't make you a good (insert label).,Reassuring/Empowering,"Belief Challenge, Identity Reassurance",General/Universal,Direct Statement,Broad/General,General,75,Yes,MYTH BUSTING
HOOK_231,This is what (insert number) of (insert item) looks like.,Myth-Busting/Educational,Belief Challenge,Product/Consumer,Direct Statement,Broad/General,General,57,Yes,MYTH BUSTING
HOOK_232,If you are (insert action) just once per (month/day/year) than you are f*ucked.,Edgy/Provocative,Belief Challenge,General/Universal,Conditional/If-Then,Broad/General,General,79,Yes,MYTH BUSTING
HOOK_233,"This is me when I (insert action) (insert frequency), and this is me still (insert action) (insert frequency).",Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,110,Yes,MYTH BUSTING
HOOK_234,No your (insert noun) is not cause (insert result).,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,51,Yes,MYTH BUSTING
HOOK_235,Let me de-influence you from (insert action).,Teaching/Corrective,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,45,Yes,MYTH BUSTING
HOOK_236,"More (insert target audience) need to hear this, (insert common belief) will not (insert result).",Corrective/Urgent,"Belief Challenge, Conspiracy/Revelation",General/Universal,Direct Statement,Variable/Customizable,General,97,Yes,MYTH BUSTING
HOOK_237,"It's time to throw away your (insert item), you don't need it anymore.",Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning",Product/Consumer,Command/Imperative,Broad/General,General,70,Yes,MYTH BUSTING
HOOK_238,"They said, ""(insert famous cliché or quote)"" That's a lie.",Corrective/Urgent,"Belief Challenge, Conspiracy/Revelation",General/Universal,Direct Statement,Broad/General,General,58,Yes,MYTH BUSTING
HOOK_239,Don't (insert action) until you've done this one thing.,Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning",General/Universal,Command/Imperative,Broad/General,General,55,Yes,MYTH BUSTING
HOOK_240,Stop using (insert item) for (insert result).,Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning",Product/Consumer,Command/Imperative,Broad/General,General,45,Yes,MYTH BUSTING
HOOK_241,You cannot be (insert dream result) before you enter (insert age group).,Myth-Busting/Educational,Belief Challenge,Age-Specific Advice,Direct Statement,Age-Specific,General,72,Yes,MYTH BUSTING
HOOK_242,I stopped acting like the (insert person/title) in my life and you shouldn't be the (insert person/title) either.,Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning, Authority/Credibility",Life Advice/Lifestyle,Command/Imperative,Variable/Customizable,General,113,Yes,MYTH BUSTING
HOOK_243,Your life is boring because you don't (insert action).,Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning",Life Advice/Lifestyle,Command/Imperative,Broad/General,General,54,Yes,MYTH BUSTING
HOOK_244,This is (insert large number) worth of (insert noun).,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,53,Yes,MYTH BUSTING
HOOK_245,"Just because you have never (insert action) before, doesn't make you a (insert label) person.",Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning, Identity Reassurance",General/Universal,Direct Statement,Variable/Customizable,General,93,Yes,MYTH BUSTING
HOOK_246,"This is how we think we (insert pain point), but you would have to (insert action) on top of (insert action) # of times for that to happen.",Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,139,Yes,MYTH BUSTING
HOOK_247,(Insert noun) is actually a really good (Insert noun) for (insert result).,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,74,Yes,MYTH BUSTING
HOOK_248,# things I would never (insert action) in my (insert age range) if I wanted to (insert dream result) by (insert age range).,Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning, Authority/Credibility",Age-Specific Advice,Direct Statement,Age-Specific,General,123,Yes,MYTH BUSTING
HOOK_249,If you look in the mirror and notice (insert observation) here's what you do to (insert dream result).,Myth-Busting/Educational,Belief Challenge,General/Universal,Conditional/If-Then,Broad/General,General,102,Yes,MYTH BUSTING
HOOK_250,"I haven't done (insert common action) in over # years, and it's healed (insert noun).",Myth-Busting/Educational,"Belief Challenge, Hope/Transformation",Health/Wellness,Direct Statement,Broad/General,General,85,Yes,MYTH BUSTING
HOOK_251,(insert dream outcome) that don't taste/look like pure bootyhole.,Edgy/Provocative,"Belief Challenge, Fear of Loss/Warning",General/Universal,Command/Imperative,Broad/General,General,65,Yes,MYTH BUSTING
HOOK_252,"You are not (insert bad label), you are not (insert bad label), you just can't (insert adjective).",Reassuring/Empowering,"Belief Challenge, Identity Reassurance",General/Universal,Negation/Reassurance,Broad/General,General,98,Yes,MYTH BUSTING
HOOK_253,My biggest regret in (insert life event) was (insert accomplishment).,Myth-Busting/Educational,"Belief Challenge, Authority/Credibility, Hope/Transformation",Life Advice/Lifestyle,Direct Statement,Broad/General,General,69,Yes,MYTH BUSTING
HOOK_254,"(insert action) I have never (insert action) before, to prove (insert action) is easy.",Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning, Accessibility",General/Universal,Direct Statement,Broad/General,General,86,Yes,MYTH BUSTING
HOOK_255,For the price of this many (insert noun) at the (insert place/store/restaurant) you could make this many at home.,Myth-Busting/Educational,Belief Challenge,"Finance/Budget, Food/Cooking",Direct Statement,Broad/General,General,113,Yes,MYTH BUSTING
HOOK_256,If you (insert action) this (insert noun) then yes i'm judging you.,Myth-Busting/Educational,Belief Challenge,General/Universal,Conditional/If-Then,Broad/General,General,67,Yes,MYTH BUSTING
HOOK_257,You are (insert action) too many (insert noun) that you didn't know.,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,68,Yes,MYTH BUSTING
HOOK_258,"I have never met a single person that (insert action), (insert action), (insert action), (insert action), and still has time to (insert dream result).",Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning",General/Universal,Direct Statement,Variable/Customizable,General,150,Yes,MYTH BUSTING
HOOK_259,(insert well known person or brand) is trying to get this video removed from the internet because he/she exposes their product for being (insert negative result). Watch this now before it's gone.,Contrarian,"Belief Challenge, Conspiracy/Revelation, Contrarian/Exclusivity",Product/Consumer,Direct Statement,Variable/Customizable,Video,195,Yes,MYTH BUSTING
HOOK_260,What if I told you making your own (insert noun) is actually super easy and only costs (insert price).,Myth-Busting/Educational,"Belief Challenge, Accessibility","Finance/Budget, Food/Cooking",Direct Statement,Broad/General,General,102,Yes,MYTH BUSTING
HOOK_261,I said it before and I am going to say it again (insert mind blowing fact).,Teaching/Corrective,"Belief Challenge, Authority/Credibility",General/Universal,Direct Statement,Broad/General,General,75,Yes,MYTH BUSTING
HOOK_262,There is absolutely no reason for you to be (insert pain point) every single day just because you are trying to (insert dream result).,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,134,Yes,MYTH BUSTING
HOOK_263,"Don't make the mistake of (insert action), (insert action), (insert action).",Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning",General/Universal,Command/Imperative,Broad/General,General,76,Yes,MYTH BUSTING
HOOK_264,"You are not bad at (insert action), you probably were just never taught how to (insert action).",Corrective/Urgent,"Belief Challenge, Fear of Loss/Warning, Identity Reassurance",General/Universal,Negation/Reassurance,Broad/General,General,95,Yes,MYTH BUSTING
HOOK_265,"If you're a young (insert person) and you are a (insert result) (insert title), let me tell you something you got a bright future buddy.",Teaching/Corrective,"Belief Challenge, Hope/Transformation","Life Advice/Lifestyle, Age-Specific Advice",Conditional/If-Then,Age-Specific,General,136,Yes,MYTH BUSTING
HOOK_266,I can't (insert verb) (insert noun) anymore.,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,44,Yes,MYTH BUSTING
HOOK_267,Believe it or not this (insert noun) was not (insert verb) with a (insert noun).,Corrective/Urgent,"Belief Challenge, Conspiracy/Revelation",General/Universal,Direct Statement,Broad/General,General,80,Yes,MYTH BUSTING
HOOK_268,(insert noun) are not (insert adjective) and they are not a cop-out. I think they can actually be made into something really really (insert adjective).,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,151,Yes,MYTH BUSTING
HOOK_269,If your (insert noun) are not lasting you at least (insert time frame) you are probably doing them wrong.,Myth-Busting/Educational,"Belief Challenge, Mistake Correction",General/Universal,Conditional/If-Then,Broad/General,General,105,Yes,MYTH BUSTING
HOOK_270,This is why you should always (insert verb) your (insert noun) before (insert verb).,Myth-Busting/Educational,Belief Challenge,General/Universal,Explanation,Broad/General,General,84,Yes,MYTH BUSTING
HOOK_271,You're using your (insert noun) wrong and I am going to show you how to use it the right way.,Teaching/Corrective,"Belief Challenge, Mistake Correction, Clarity/Certainty, Authority/Credibility","Product/Consumer, Skills/Education",Direct Statement,Broad/General,Tutorial/Demo,93,Yes,MYTH BUSTING
HOOK_272,Everyone on the internet is going to tell you making (insert noun) is impossible. But I am going to show you how to make them from home.,Teaching/Corrective,"Belief Challenge, Contrarian/Exclusivity, Clarity/Certainty, Authority/Credibility","Food/Cooking, Skills/Education",Direct Statement,Broad/General,Tutorial/Demo,136,Yes,MYTH BUSTING
HOOK_273,I will let you in on a secret (insert verb) is the easiest thing in the world.,Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,78,Yes,MYTH BUSTING
HOOK_274,Are you still (insert verb) (insert noun) like this? While I worked at (insert noun) and let me show you how to do it like a pro.,Teaching/Corrective,"Belief Challenge, Clarity/Certainty, Curiosity Gap, Authority/Credibility",Skills/Education,Direct Statement,Broad/General,Tutorial/Demo,129,Yes,MYTH BUSTING
HOOK_275,"Instead of (insert verb) (insert noun) like this, try this method instead.",Myth-Busting/Educational,Belief Challenge,Skills/Education,Direct Statement,Broad/General,General,74,Yes,MYTH BUSTING
HOOK_276,"(insert verb) does not mean your (insert adjective), it means your just (insert adjective).",Myth-Busting/Educational,Belief Challenge,General/Universal,Direct Statement,Broad/General,General,91,Yes,MYTH BUSTING
HOOK_277,"If you (insert action) like this, then you're doing it wrong.",Myth-Busting/Educational,"Belief Challenge, Mistake Correction",General/Universal,Conditional/If-Then,Broad/General,General,61,Yes,MYTH BUSTING
HOOK_278,I am going to hold you hand while I tell you this. If you only have # of (insert noun) you are not doing it the right way.,Reassuring/Empowering,"Belief Challenge, Identity Reassurance, Authority/Credibility",General/Universal,Negation/Reassurance,Broad/General,General,122,Yes,MYTH BUSTING
